X,Y_evo_sceg-30,Y_evo_sdc,Y_evo_sdc-37,Y_evo_sdc-diam,Y_evo_sdc-h2o2,Y_evo_sdc-kcl,Y_evo_sdc-kcl-diam,Y_evo_sdc-kcl-h2o2,Y_evo_sdc-sorb,Y_evo_ypd,Y_evo_ypd-37,Y_evo_ypd-diam,Y_evo_ypd-h2o2,Y_evo_ypd-kcl,Y_evo_ypd-kcl-diam,Y_evo_ypd-kcl-h2o2,Y_evo_ypd-sorb,Y_evo_ypeg-30
-1.8303183,11.161168,,,,,,,,,,,,,,,,,
-2.107841,9.526642,,,,,,,,,,,,,,,,,
-2.2312052,9.370921,,,,,,,,,,,,,,,,,
0.6616612,4.6829515,,,,,,,,,,,,,,,,,
-3.416431,12.14872,,,,,,,,,,,,,,,,,
-2.4715023,9.603709,,,,,,,,,,,,,,,,,
-1.2541207,8.833289,,,,,,,,,,,,,,,,,
-3.367394,9.954762,,,,,,,,,,,,,,,,,
-2.0854375,9.68354,,,,,,,,,,,,,,,,,
-3.7287126,12.516681,,,,,,,,,,,,,,,,,
-2.5932918,10.342605,,,,,,,,,,,,,,,,,
-2.7049525,8.342583,,,,,,,,,,,,,,,,,
-3.0397303,9.050057,,,,,,,,,,,,,,,,,
-0.9867559,10.585414,,,,,,,,,,,,,,,,,
-1.7945259,11.461798,,,,,,,,,,,,,,,,,
-3.1988773,11.290394,,,,,,,,,,,,,,,,,
-1.9189994,11.188457,,,,,,,,,,,,,,,,,
-2.8631063,9.651598,,,,,,,,,,,,,,,,,
-3.453694,12.253471,,,,,,,,,,,,,,,,,
-2.6789234,10.10057,,,,,,,,,,,,,,,,,
-1.9070597,8.379005,,,,,,,,,,,,,,,,,
-2.3591392,11.578872,,,,,,,,,,,,,,,,,
-2.9214137,11.743687,,,,,,,,,,,,,,,,,
-3.297142,12.060518,,,,,,,,,,,,,,,,,
-2.2960217,10.598668,,,,,,,,,,,,,,,,,
-3.2735732,12.162358,,,,,,,,,,,,,,,,,
-1.3450996,10.162611,,,,,,,,,,,,,,,,,
